teaching,teaching,coursecontent,coursecontent,examination,Examination,labwork,labwork,library_facilities, library_facilities,extracurricular,extracurricular
0,teacher are punctual but they should also give us the some practical knowledge other than theortical,0,content of courses are average,1,examination pattern is good,-1,"not satisfactory, lab work must include latest technologies",0,library facilities are good but number of books are less,1,extracurricular activities are excellent and provides best platform to students.
1,Good ,-1,Not good,1,Good,1,Good ,-1,Not good ,1,Good 
1,Excellent lectures are delivered by teachers and all teachers are very punctual.,1,All courses material provide very good knowledge in depth .,1,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",1,Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,1,Library facilities are excellent in terms of good techniques that are used over there.,1,Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.
1,Good,-1,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",-1,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,1,Good,0,"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",-1,Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.
1,teachers give us all the information required to improve the performance.,1,content of courses improves my knowledge,1,examination pattern is good,1,practical work provides detail knowledge of theoretical work,1,library has huge collection of books from different authors,1,extracurricular activities increases mental and physical abilities
1,Yes,1,content were very nice,1,good,1,good,1,good,1,good
1,good and punctual,1,Good,1,Good,1,Good,1,Hardworking,0,No views
1,It is good,1,This semester university has provide best teachers ,1,I like the question pattern,1,Everything is going fine in lab . learning new things. That is good for us,0,I am satisfied with the facilities but few books are limited of  database distribution ,0,No idea about the extracurricular activities. 
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,It's good when compare with my Btech lectures and teaching activities.,0,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,1,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",-1,Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,1,Good,1,While coming to extracurriculum activities it's better than any other university which I had come around.
1,Good,0,"Knowledge,depth of course is good but course material are not upto the mark",1,Great,-1,Not upto the mark,1,Good,1,Awesome
1,way of teaching is good,1,course content is knowledgeable ,1,exam pattern is good and good paper checking.,-1,lab improves practical knowledge,1,good library facilities,0,ok
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",-1,Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,0,Pattern and procedure of the examination is very good. Paper checking needed to be improved.,0,Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,1,Library facilities are very good. No issues ,1,This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. 
1,Good,1,Good,1,Good,1,Good,1,Hardworking,1,Good
1,Good ,1,Very good,1,Excellent ,1,Good,1,Good,1,Good
1,As compared to other colleges and university our university is perfect in all the aspects,-1,Material of the course is not good enough ,1,Good,1,Practical work is fair,1,Excellent,1,Great job
1,Good,-1,sometimes proper course material is not required.,1,Good,1,Good,1,Good,1,excellent
1,Lectures helps in clear our concept,1,Easily available course material with sufficient knowledge gaining,1,Good marks distribution Students can easily check there performance throught the semester,1,Practical and easy learning,1,Good,1,Its give various opportunities and exposure
